# simulation: Earthquake Building Sim
# Exported: 2025-12-20T13:04:15.291047
#
Time(s),Max_Displacement
6.9202,5.703536e+182
6.9302,1.087731e+183
6.9402,2.074429e+183
6.9502,3.956179e+183
6.9602,7.544894e+183
6.9702,1.438899e+184
6.9802,2.744148e+184
6.9902,5.233411e+184
7.0002,9.980725e+184
7.0102,1.903441e+185
7.0202,3.630083e+185
7.0302,6.922991e+185
7.0402,1.320295e+186
7.0502,2.517957e+186
7.0602,4.802037e+186
7.0702,9.158044e+186
7.0802,1.746546e+187
7.0902,3.330866e+187
7.1002,6.352350e+187
7.1102,1.211467e+188
7.1202,2.310409e+188
7.1302,4.406220e+188
7.1402,8.403175e+188
7.1502,1.602583e+189
7.1602,3.056313e+189
7.1702,5.828746e+189
7.1802,1.111610e+190
7.1902,2.119969e+190
7.2002,4.043029e+190
7.2102,7.710527e+190
7.2202,1.470487e+191
7.2302,2.804391e+191
7.2402,5.348300e+191
7.2502,1.019983e+192
7.2602,1.945227e+192
7.2702,3.709774e+192
7.2802,7.074972e+192
7.2902,1.349280e+193
7.3002,2.573234e+193
7.3102,4.907456e+193
7.3202,9.359091e+193
7.3302,1.784888e+194
7.3402,3.403989e+194
7.3502,6.491804e+194
7.3602,1.238063e+195
7.3702,2.361130e+195
7.3802,4.502950e+195
7.3902,8.587650e+195
7.4002,1.637765e+196
7.4102,3.123409e+196
7.4202,5.956705e+196
7.4302,1.136013e+197
7.4402,2.166509e+197
7.4502,4.131786e+197
7.4602,7.879797e+197
7.4702,1.502769e+198
7.4802,2.865956e+198
7.4902,5.465712e+198
7.5003,1.042375e+199
7.5103,1.987931e+199
7.5203,3.791215e+199
7.5303,7.230290e+199
7.5403,1.378901e+200
7.5503,2.629724e+200
7.5603,5.015190e+200
7.5703,9.564552e+200
7.5803,1.824072e+201
7.5903,3.478717e+201
7.6003,6.634319e+201
7.6103,1.265242e+202
7.6203,2.412964e+202
7.6303,4.601804e+202
7.6403,8.776176e+202
7.6503,1.673719e+203
7.6603,3.191977e+203
7.6703,6.087473e+203
7.6803,1.160952e+204
7.6903,2.214071e+204
7.7003,4.222491e+204
7.7103,8.052783e+204
7.7203,1.535760e+205
7.7303,2.928872e+205
7.7403,5.585701e+205
7.7503,1.065258e+206
7.7603,2.031572e+206
7.7703,3.874444e+206
7.7803,7.389017e+206
7.7903,1.409172e+207
7.8003,2.687455e+207
7.8103,5.125289e+207
7.8203,9.774524e+207
7.8303,1.864116e+208
7.8403,3.555086e+208
7.8503,6.779963e+208
7.8603,1.293018e+209
7.8703,2.465936e+209
7.8803,4.702827e+209
7.8903,8.968840e+209
7.9003,1.710462e+210
7.9103,3.262051e+210
7.9203,6.221111e+210
7.9303,1.186438e+211
7.9403,2.262676e+211
7.9503,4.315188e+211
7.9603,8.229566e+211
7.9703,1.569474e+212
7.9803,2.993170e+212
7.9903,5.708324e+212
8.0003,1.088644e+213
8.0103,2.076171e+213
8.0203,3.959500e+213
8.0303,7.551228e+213
8.0403,1.440107e+214
8.0503,2.746452e+214
8.0603,5.237805e+214
8.0703,9.989104e+214
8.0803,1.905039e+215
8.0903,3.633131e+215
8.1003,6.928804e+215
8.1103,1.321404e+216
8.1203,2.520071e+216
8.1303,4.806069e+216
8.1403,9.165733e+216
8.1503,1.748012e+217
8.1603,3.333663e+217
8.1703,6.357684e+217
8.1803,1.212484e+218
8.1903,2.312349e+218
8.2003,4.409919e+218
8.2103,8.410230e+218
8.2203,1.603929e+219
8.2303,3.058879e+219
